tid,EN
TID_TUTORIAL_LAVA_GOLEM_1_2,"If we want to take it down, we need to focus on the body."
,
TID_TUTORIAL_LAVA_GOLEM_2_1,There’s that hunk of lava rock again.
TID_TUTORIAL_LAVA_GOLEM_2_2,It won’t escape this time!
,
TID_TUTORIAL_PAPA_DRAGON_1_1,Hey! Get down here and taste my lance!
TID_TUTORIAL_PAPA_DRAGON_1_2,(What’s with him and the lance eating?)
TID_TUTORIAL_PAPA_DRAGON_1_3,"You better wait for it to land before you go charging in, Prince."
,
TID_TUTORIAL_PAPA_DRAGON_2_1,"Hmm... Don’t Baby Dragons grow up to be, you know, Dragons?"
TID_TUTORIAL_PAPA_DRAGON_2_2,"Actually, I think it’s cute! It’s almost a shame to defeat it. Almost."
,
TID_BACK_BUTTON_PRESSED_DURING_TUTORIAL,Please follow the tutorial!
,
TID_NOTIFICIATION_ONE_ENERGY_RESTORED,Energy available again!
TID_NOTIFICATION_PUZZLE_ENERGY_RESTORED_ALL,Your Energy is full! Time to battle!
TID_NOTIFICATION_ENDLESS_MODE_SEASON_CHANGE,New League Season is starting
TID_NOTIFICATION_ENDLESS_MODE_DAY_CHANGE,New League Day has started
TID_NOTIFICATION_ENDLESS_MODE_DAY_NOT_YET_PLAYED,Last chance to play League today!
TID_NOTIFICATION_NEW_QUEST_AVAILABLE,New quest is available!
TID_NOTIFICATION_NEW_DEALS_IN_SHOP,New deals available in shop!
TID_NOTIFICATION_COME_BACK_SMALL,Your troops want to attack.
TID_NOTIFICATION_COME_BACK_MEDIUM,Your troops want to attack.
TID_NOTIFICATION_COME_BACK_LARGE,Your troops want to attack.
,
TID_QUEST_COMPLETED,Side Quest completed!
TID_QUEST_EXPIRED,Side Quest expired
,
TID_ENERGY_SCROLL,Quest Tokens
TID_CHALLENGE_TOKEN,League Tokens
,
TID_ENDLESS_TRIES_LEFT,<NUM> Free Tries!
TID_ENDLESS_TRIES_LEFT_SINGULAR,Free Try!
TID_ENDLESS_BEST_SCORE_FOR_TODAY,Best score:
TID_ENDLESS_DAY_TIME_LEFT,<TIME>
TID_ENDLESS_DAY_TIME_LEFT_GAME,<TIME>
TID_ENDLESS_SEASON_TIME_LEFT,<cF3F2C8>Season ends in</c> <TIME>
TID_ENDLESS_SEASON_DAY,<cF3F2C8>Day</c> <DAY>
TID_ENDLESS_MODE_UNLOCKED_AT,Unlock by collecting\n<cf3f2c8><STARS> Star Chests</c>
TID_CHALLENGE_STAY,Staying on current League level
TID_CHALLENGE_MOVE_UP,Moving up to next League level
TID_CHALLENGE_MOVE_DOWN,Moving down to previous League level
TID_CHALLENGE_LEGEND,Total of daily high scores
TID_CHALLENGE_SEASON_OVER,Season over
,
TID_LEAGUE_LEGENDARY_1,Legendary I
TID_LEAGUE_LEGENDARY_2,Legendary II
TID_LEAGUE_LEGENDARY_3,Legendary III
TID_LEAGUE_PLATINUM_1,Platinum I
TID_LEAGUE_PLATINUM_2,Platinum II
TID_LEAGUE_PLATINUM_3,Platinum III
TID_LEAGUE_GOLD_1,Gold I
TID_LEAGUE_GOLD_2,Gold II
TID_LEAGUE_GOLD_3,Gold III
TID_LEAGUE_SILVER_1,Silver I
TID_LEAGUE_SILVER_2,Silver II
TID_LEAGUE_SILVER_3,Silver III
TID_LEAGUE_BRONZE_1,Bronze I
TID_LEAGUE_BRONZE_2,Bronze II
TID_LEAGUE_BRONZE_3,Bronze III
TID_LEAGUE_BRONZE_4,Bronze IV
TID_LEAGUE_BRONZE_5,Bronze V
TID_LEAGUE_BRONZE_6,Bronze VI
TID_LEAGUE_BRONZE_7,Bronze VII
TID_LEAGUE_BRONZE_8,Bronze VIII
TID_LEAGUE_BRONZE_9,Bronze IX
TID_LEAGUE_BRONZE_10,Bronze X
TID_LEAGUE_BRONZE_11,Bronze XI
TID_LEAGUE_BRONZE_12,Bronze XII
TID_LEAGUE_BRONZE_13,Bronze XIII
TID_LEAGUE_BRONZE_14,Bronze XIV
TID_LEAGUE_BRONZE_15,Bronze XV
TID_LEAGUE_BRONZE_16,Bronze XVI
,
TID_FORCE_ONLINE,Go Online to continue playing!
,
TID_BUILDING_FURNACE,Furnace
,
TID_QQ_LOGIN_BUTTON,QQ Login
TID_QQ_LOGGED_IN,Logged in to QQ
TID_WECHAT_LOGIN_BUTTON,WeChat Login
TID_WECHAT_NOT_INSTALLED,You haven't installed WeChat yet
TID_WECHAT_LOGGED_IN,Logged in to WeChat
TID_WECHAT_LOGOUT_BUTTON,Log out
TID_GUEST_LOGIN_BUTTON,Guest Login
TID_TAP_UNITS_TO_ATTACK,Tap units to attack!
TID_COLLECTION_LOCKED_CARDS_HEADER,To be found:
TID_CARD_FOUND_AFTER_COMPLETING_MAP_NODE,Found after completing <NAME>
TID_CARD_FOUND_IN_REGION_1,Found somewhere in <NAME> area.
TID_CARD_FOUND_IN_REGION_2,Rumored to be somewhere in <NAME>.
TID_CARD_FOUND_IN_REGION_3,Somewhere in <NAME>.. possibly?
TID_CARD_FOUND_IN_REGION_4,Last seen in <NAME>.
,
TID_POPUP_SKIP_TUTORIAL_TITLE,Skip tutorial?
TID_POPUP_SKIP_TUTORIAL_TEXT,Are you sure you want to skip this part of the tutorial?\n\nYou will not see this part again.
TID_POPUP_SKIP_TUTORIAL_POSITIVE,Skip
,
TID_PLAYER_STAT_CURRENT_SEASON,Current season:
TID_PLAYER_STAT_SEASON_RANK,<RANK>. in <SEASON_NAME>
TID_PLAYER_STAT_SEASON_NOT_PLAYED,Not played
TID_PLAYER_STAT_PREVIOUS_SEASON,Previous season:
TID_PLAYER_STAT_BEST_SEASON,Best season:
TID_CHALLENGE_SEASON_SCORE_EXPLANATION,Season Score: the total of daily high scores (the highest Stages beaten and the number of defenses destroyed on the last Stages).
TID_CHALLENGE_SCORE_EXPLANATION,High Score of the Day: the highest Stage beaten and the number of defenses destroyed on the last Stage.
TID_CHALLENGE_REFILL_EXPLANATION,These units are only available as refills from draft buildings and between Stages.
TID_PLAYER_STAT_DAILY_SCORES,Daily high scores:
TID_PLAYER_STAT_BEST_DAILY,Best daily score:
TID_PLAYER_STAT_TOTAL_STAGES,Total stages defeated:
TID_PLAYER_STAT_DAY,Day
TID_YOU,You
TID_POPUP_SURVEY_TITLE,Help Make Clash Quest Better!
TID_POPUP_SURVEY_TEXT,Want to take part in a survey? Answer all the questions and finish the survey and you'll receive <REWARD_GEMS> gems.
TID_POPUP_SURVEY_ACCEPT_BUTTON,Take survey
TID_POPUP_SURVEY_DECLINE_BUTTON,Decline
TID_SURVEY_COMPLETED,Thanks for taking the survey!
TID_SURVEY_TITLE,Clash Quest Survey
,
TID_TENCENT_LOGIN_AGREEMENT_POPUP_TITLE,Important notice
TID_TENCENT_LOGIN_AGREEMENT_POPUP,"Before using Tencent services, please carefully read <TOS>Tencent Game License and Service Agreement</TOS>, <PP>Tencent Game Privacy Protection Guidelines</PP> and <CHILDREN>Tencent Game Children Privacy Protection Guidelines</CHILDREN> and ensure that you fully understand the items and our processing rules. Meanwhile, please pay attention to items in these agreements that exempt or limit our liability, items that limit your right, appointed solution of dispute and jurisdiction clauses. Please press \qAgree\q if you have carefully read and agree with <TOS>, <PP> and <CHILDREN>."
TID_TENCENT_LOGIN_AGREEMENT_POPUP_AGREE,Agree
TID_TENCENT_LOGIN_AGREEMENT_POPUP_REFUSE,Refuse
TID_TENCENT_LOGIN_AGREEMENT_POPUP_2,"Please note that you need to carefully read and agree with\n<TOS>Tencent Game License and Service Agreement</TOS>,\n<PP>Tencent Game Privacy Protection Guidelines</PP> and\n<CHILDREN>Tencent Game Children Privacy Protection Guidelines</CHILDREN>\nbefore accessing the game."
TID_TENCENT_LOGIN_AGREEMENT_POPUP_BACK,Back
TID_TENCENT_LOGIN_AGREEMENT_POPUP_NO,No
TID_TERMS_OF_SERVICE_BUTTON_TENCENT,Tencent Game License and Service Agreement
TID_PRIVACY_POLICY_BUTTON_TENCENT,Tencent Game Privacy Protection Guidelines
TID_PARENTS_GUIDE_BUTTON_TENCENT,Tencent Game Children Privacy Protection Guidelines
TID_TENCENT_LOGIN_AGREEMENTS,"I have carefully read and agree with <TOS>Tencent Game License and Service Agreement</TOS>, <PP>Tencent Game Privacy Protection Guidelines</PP> and <CHILDREN>Tencent Game Children Privacy Protection Guidelines</CHILDREN>."
TID_TENCENT_LOGIN_AGREEMENT_NOTE,"You need to carefully read and agree with\n<TOS>Tencent Game License and Service Agreement</TOS>,\n<PP>Tencent Game Privacy Protection Guidelines</PP> and\n<CHILDREN>Tencent Game Children Privacy Protection Guidelines</CHILDREN>\nbefore accessing the game."
TID_TENCENT_GUEST_LOGIN_WARNING_TITLE,Log in as guest?
TID_TENCENT_GUEST_LOGIN_WARNING,"In accordance with the latest anti-addiction rules, you will be unable to complete real-name verification when logged in with a Guest account, and your playtime is restricted to 1 hour every 15 days. To ensure the very best gaming experience, we highly recommend logging in with either QQ or WeChat and completing your real-name verification."
,
TID_CLAIM_REWARD,Claim reward
TID_SEASON_END_TITLE,League Season Ended
TID_SEASON_END_TEXT_UP,You moved up to the <cffc620><league></c>!\nCongratulations!
TID_SEASON_END_TEXT_SAME,You stayed on the <cffc620><league></c>.\nGood work!
TID_SEASON_END_TEXT_DOWN,You moved down to the <cffc620><league></c>.
,
TID_ACCOUNT_LOCKED_TITLE,Account Locked
TID_ACCOUNT_LOCKED_TEXT,Your account has been locked for security reasons. Enter the unlock code to recover your account.
TID_ACCOUNT_LOCKED_TEXT2,Enter unlock code here:
TID_ACCOUNT_LOCKED_INVALID_CODE,Invalid unlock code!
,
